ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,maxError
BPRModelErScWithoutBeta_100_9,ND,100,100,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_100_9,-647467.819,-30105.45526,10029,10.06921296,187.0665054,64.96829824,
BPRModelErScWithoutBeta_150_9,ND,150,150,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_150_9,-360297.0116,-49214.8584,26911,8.977226156,331.0579151,33.90798486,
BPRModelErScWithoutBeta_200_9,ND,200,200,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_200_9,-418864.4865,-64933.46258,60943,7.394950925,459.2723521,25.30326319,
BPRModelErScWithoutBeta_250_9,ND,250,250,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_250_9,-452560.6163,-79769.12356,108887,6.327434154,572.8124077,19.53635784,
BPRModelErScWithoutBeta_300_9,ND,300,300,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_300_9,-561470.3676,-93328.77723,194990,5.246656541,708.0988836,17.62464085,
BPRModelErScWithoutBeta_350_9,ND,350,350,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_350_9,-665928.9516,-106068.3842,366553,4.266433307,847.4367418,12.43949076,
BPRModelErScWithoutBeta_400_9,ND,400,400,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_400_9,-760823.3513,-116957.088,647365,3.623463267,955.3510436,10.89707367,
BPRModelErScWithoutBeta_450_9,ND,450,450,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_450_9,-875558.9869,-126838.9542,1028353,2.971783431,1071.853249,9.163054844,
BPRModelErScWithoutBeta_500_9,ND,500,500,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_500_9,-977678.4133,-135817.148,1501592,2.261474223,1141.056206,5.920288851,
BPRModelErScWithoutBeta_550_9,ND,550,550,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_550_9,-1081439.736,-143023.8846,2214171,1.743127671,1429.64191,5.061088114,
BPRModelErScWithoutBeta_600_9,ND,600,600,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_600_9,-1193569.865,-149680.3601,3050210,1.318489419,1402.899083,3.179017564,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
BPRModelErScWithoutBeta_100_9,ND,100,100,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_100_9,-647467.819,-30105.45526,10029,10.06921296,182.7533253,64.96829824,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
BPRModelErScWithoutBeta_100_9,ND,100,100,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_100_9,-647467.819,-30105.45526,10029,10.06921296,182.1692866,64.96829824,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
BPRModelErScWithoutBeta_100_9,ND,100,100,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_100_9,-647467.819,-30105.45526,10029,10.06921296,185.9383313,64.96829824,
BPRModelErScWithoutBeta_150_9,ND,150,150,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_150_9,-360297.0116,-49214.8584,26911,8.977226156,342.1415701,33.90798486,
BPRModelErScWithoutBeta_200_9,ND,200,200,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_200_9,-418864.4865,-64933.46258,60943,7.394950925,484.7221458,25.30326319,
