NumberId,dataKey
0,0.5_0
1,0.625_0
2,0.75_0
3,0.875_2
4,0.875_3
5,0.875_9
6,0.875_11
7,0.875_14
8,0.875_27
9,0.875_30
10,0.875_41
11,0.875_43
12,0.875_44
13,0.875_47
14,0.875_2
15,0.875_4
16,0.875_11
17,0.875_16
18,0.875_39
19,0.875_46
20,0.875_0
21,0.875_2
22,0.875_3
23,0.875_12
24,0.875_15
25,0.875_26
26,1.0_7
27,1.0_27
28,1.0_33
29,1.0_50
30,1.0_8
31,1.0_28
32,1.0_47
33,1.0_2
34,1.0_4
35,1.0_9
36,1.0_16
37,1.0_19
38,1.0_25
39,1.0_26
40,1.0_35
41,1.125_0
42,1.125_3
43,1.125_4
44,1.125_14
45,1.125_19
46,1.125_22
47,1.125_27
48,1.125_38
49,1.125_47
50,1.125_49
51,1.125_4
52,1.125_5
53,1.125_10
54,1.125_11
55,1.125_20
56,1.125_23
57,1.125_26
58,1.125_27
59,1.125_33
60,1.125_38
61,1.125_39
62,1.125_40
63,1.125_41
64,1.125_49
65,1.125_3
66,1.125_20
67,1.125_22
68,1.125_27
69,1.125_33
70,1.25_1
71,1.25_7
72,1.25_20
73,1.25_33
74,1.25_34
75,1.25_38
76,1.25_39
77,1.25_42
78,1.25_49
79,1.25_50
80,1.25_3
81,1.25_23
82,1.25_35
83,1.25_41
84,1.25_43
85,1.25_48
86,1.25_27
87,1.25_34
88,1.25_39
89,1.25_41
90,1.25_44
91,1.25_47
92,1.25_49
93,1.375_14
94,1.375_28
95,1.375_32
96,1.375_36
97,1.375_38
98,1.375_45
99,1.375_0
100,1.375_7
101,1.375_18
102,1.375_19
103,1.375_39
104,1.375_48
105,1.375_9
106,1.375_13
107,1.375_16
108,1.375_19
109,1.375_24
110,1.375_27
111,1.375_33
112,1.375_40
113,1.375_44
114,1.5_4
115,1.5_12
116,1.5_13
117,1.5_19
118,1.5_24
119,1.5_40
120,1.5_29
121,1.5_36
122,1.5_38
123,1.5_40
124,1.5_42
125,1.5_45
126,1.5_46
