NumberId,dataKey
0,0.5_0
1,0.875_7
2,0.875_47
3,0.875_50
4,0.875_3
5,0.875_10
6,0.875_13
7,0.875_18
8,0.875_24
9,0.875_28
10,0.875_35
11,0.875_50
12,0.875_9
13,0.875_13
14,0.875_19
15,0.875_23
16,0.875_28
17,0.875_37
18,0.875_40
19,0.875_45
20,1.0_15
21,1.0_23
22,1.0_24
23,1.0_32
24,1.0_34
25,1.0_0
26,1.0_20
27,1.0_31
28,1.0_36
29,1.0_5
30,1.0_15
31,1.0_24
32,1.0_36
33,1.0_43
34,1.0_46
35,1.125_17
36,1.125_31
37,1.125_39
38,1.125_22
39,1.125_24
40,1.125_30
41,1.125_36
42,1.125_39
43,1.125_5
44,1.125_14
45,1.125_21
46,1.125_22
47,1.125_24
48,1.125_31
49,1.125_34
50,1.125_37
51,1.25_6
52,1.25_9
53,1.25_19
54,1.25_23
55,1.25_27
56,1.25_30
57,1.25_31
58,1.25_44
59,1.25_46
60,1.25_0
61,1.25_5
62,1.25_10
63,1.25_22
64,1.25_36
65,1.25_43
66,1.25_1
67,1.25_19
68,1.25_22
69,1.25_39
70,1.375_2
71,1.375_7
72,1.375_11
73,1.375_16
74,1.375_22
75,1.375_14
76,1.375_26
77,1.375_36
78,1.375_39
79,1.375_50
80,1.5_4
81,1.5_24
82,1.5_28
83,1.5_37
84,1.5_43
85,1.5_46
86,1.5_12
87,1.5_14
88,1.5_15
89,1.5_20
90,1.5_47
91,1.5_0
92,1.5_2
93,1.5_4
94,1.5_9
95,1.5_18
96,1.5_29
97,1.5_31
98,1.5_34
99,1.5_50
