NumberId,dataKey
0,0_0.25
1,0_0.5
2,1_0.5
3,2_0.5
4,3_0.5
5,4_0.5
6,5_0.5
7,6_0.5
8,7_0.5
9,8_0.5
10,9_0.5
11,10_0.5
12,11_0.5
13,13_0.5
14,15_0.5
15,16_0.5
16,17_0.5
17,18_0.5
18,19_0.5
19,20_0.5
20,22_0.5
21,23_0.5
22,24_0.5
23,25_0.5
24,26_0.5
25,27_0.5
26,28_0.5
27,29_0.5
28,30_0.5
29,32_0.5
30,33_0.5
31,34_0.5
32,36_0.5
33,37_0.5
34,38_0.5
35,39_0.5
36,40_0.5
37,41_0.5
38,46_0.5
39,0_0.75
40,1_0.75
41,2_0.75
42,3_0.75
43,4_0.75
44,5_0.75
45,6_0.75
46,7_0.75
47,8_0.75
48,9_0.75
49,10_0.75
50,11_0.75
51,12_0.75
52,13_0.75
53,14_0.75
54,15_0.75
55,16_0.75
56,17_0.75
57,18_0.75
58,19_0.75
59,20_0.75
60,21_0.75
61,22_0.75
62,23_0.75
63,24_0.75
64,25_0.75
65,26_0.75
66,27_0.75
67,28_0.75
68,29_0.75
69,30_0.75
70,31_0.75
71,32_0.75
72,33_0.75
73,34_0.75
74,35_0.75
75,36_0.75
76,37_0.75
77,38_0.75
78,39_0.75
79,40_0.75
80,0_1
81,1_1
82,2_1
83,3_1
84,4_1
85,5_1
86,6_1
87,7_1
88,8_1
89,9_1
90,10_1
91,11_1
92,12_1
93,13_1
94,14_1
95,15_1
96,16_1
97,17_1
98,18_1
99,19_1
100,20_1
101,21_1
102,22_1
103,23_1
104,24_1
105,25_1
106,26_1
107,27_1
108,28_1
109,29_1
110,30_1
111,31_1
112,32_1
113,33_1
114,34_1
115,35_1
116,36_1
117,37_1
118,38_1
119,39_1
120,40_1
121,41_1
122,42_1
123,43_1
124,44_1
125,45_1
126,46_1
127,47_1
128,48_1
129,49_1
130,50_1
131,0_1.25
132,1_1.25
133,2_1.25
134,3_1.25
135,4_1.25
136,5_1.25
137,6_1.25
138,7_1.25
139,8_1.25
140,9_1.25
141,10_1.25
142,11_1.25
143,12_1.25
144,13_1.25
145,14_1.25
146,15_1.25
147,16_1.25
148,17_1.25
149,18_1.25
150,19_1.25
151,20_1.25
152,21_1.25
153,22_1.25
154,23_1.25
155,24_1.25
156,25_1.25
157,26_1.25
158,27_1.25
159,28_1.25
160,29_1.25
161,30_1.25
162,31_1.25
163,32_1.25
164,33_1.25
165,34_1.25
166,35_1.25
167,36_1.25
168,37_1.25
169,38_1.25
170,39_1.25
171,40_1.25
172,41_1.25
173,42_1.25
174,43_1.25
175,44_1.25
176,45_1.25
177,46_1.25
178,47_1.25
179,48_1.25
180,49_1.25
181,50_1.25
182,0_1.5
183,1_1.5
184,2_1.5
185,3_1.5
186,4_1.5
187,5_1.5
188,6_1.5
189,7_1.5
190,8_1.5
191,9_1.5
192,10_1.5
193,11_1.5
194,12_1.5
195,13_1.5
196,14_1.5
197,15_1.5
198,16_1.5
199,17_1.5
200,18_1.5
201,19_1.5
202,20_1.5
203,21_1.5
204,22_1.5
205,23_1.5
206,24_1.5
207,25_1.5
208,26_1.5
209,27_1.5
210,28_1.5
211,29_1.5
212,30_1.5
213,31_1.5
214,32_1.5
215,33_1.5
216,34_1.5
217,35_1.5
218,36_1.5
219,37_1.5
220,38_1.5
221,39_1.5
222,40_1.5
223,41_1.5
224,42_1.5
225,43_1.5
226,44_1.5
227,45_1.5
228,46_1.5
229,48_1.5
