NumberId,dataKey
0,0_0.5
1,1_0.5
2,2_0.5
3,3_0.5
4,4_0.5
5,5_0.5
6,6_0.5
7,9_0.5
8,10_0.5
9,11_0.5
10,13_0.5
11,15_0.5
12,16_0.5
13,17_0.5
14,18_0.5
15,20_0.5
16,23_0.5
17,24_0.5
18,25_0.5
19,27_0.5
20,28_0.5
21,30_0.5
22,32_0.5
23,33_0.5
24,34_0.5
25,36_0.5
26,37_0.5
27,38_0.5
28,40_0.5
29,41_0.5
30,46_0.5
31,1_0.75
32,2_0.75
33,3_0.75
34,4_0.75
35,5_0.75
36,6_0.75
37,7_0.75
38,8_0.75
39,9_0.75
40,10_0.75
41,11_0.75
42,12_0.75
43,13_0.75
44,14_0.75
45,15_0.75
46,16_0.75
47,18_0.75
48,19_0.75
49,21_0.75
50,22_0.75
51,23_0.75
52,24_0.75
53,25_0.75
54,26_0.75
55,27_0.75
56,28_0.75
57,29_0.75
58,30_0.75
59,31_0.75
60,32_0.75
61,33_0.75
62,34_0.75
63,35_0.75
64,36_0.75
65,37_0.75
66,38_0.75
67,39_0.75
68,40_0.75
69,0_1
70,1_1
71,2_1
72,5_1
73,6_1
74,8_1
75,9_1
76,10_1
77,11_1
78,12_1
79,13_1
80,14_1
81,16_1
82,17_1
83,18_1
84,19_1
85,20_1
86,21_1
87,22_1
88,23_1
89,24_1
90,25_1
91,26_1
92,27_1
93,28_1
94,29_1
95,30_1
96,31_1
97,32_1
98,33_1
99,34_1
100,35_1
101,36_1
102,37_1
103,38_1
104,39_1
105,40_1
106,41_1
107,42_1
108,43_1
109,44_1
110,45_1
111,46_1
112,47_1
113,48_1
114,49_1
115,50_1
116,1_1.25
117,2_1.25
118,3_1.25
119,4_1.25
120,7_1.25
121,8_1.25
122,9_1.25
123,10_1.25
124,11_1.25
125,12_1.25
126,13_1.25
127,14_1.25
128,15_1.25
129,16_1.25
130,17_1.25
131,18_1.25
132,19_1.25
133,20_1.25
134,21_1.25
135,22_1.25
136,24_1.25
137,25_1.25
138,26_1.25
139,27_1.25
140,28_1.25
141,30_1.25
142,31_1.25
143,32_1.25
144,33_1.25
145,34_1.25
146,35_1.25
147,36_1.25
148,37_1.25
149,38_1.25
150,39_1.25
151,40_1.25
152,41_1.25
153,42_1.25
154,43_1.25
155,44_1.25
156,45_1.25
157,46_1.25
158,47_1.25
159,48_1.25
160,49_1.25
161,50_1.25
162,0_1.5
163,2_1.5
164,3_1.5
165,4_1.5
166,5_1.5
167,6_1.5
168,7_1.5
169,8_1.5
170,9_1.5
171,10_1.5
172,11_1.5
173,12_1.5
174,13_1.5
175,14_1.5
176,15_1.5
177,16_1.5
178,17_1.5
179,18_1.5
180,19_1.5
181,20_1.5
182,21_1.5
183,22_1.5
184,23_1.5
185,24_1.5
186,25_1.5
187,27_1.5
188,28_1.5
189,29_1.5
190,30_1.5
191,31_1.5
192,32_1.5
193,33_1.5
194,34_1.5
195,35_1.5
196,36_1.5
197,37_1.5
198,38_1.5
199,39_1.5
200,40_1.5
201,41_1.5
202,43_1.5
203,44_1.5
204,45_1.5
205,46_1.5
206,48_1.5
